"County","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Connecticut","09","1999-2001","All","Fetal","Number","Fetal Mortality",659
"Connecticut","09","1999-2001","All","Fetal","Rate","Fetal Mortality",5.1
"Connecticut","09","1999-2001","All","Infant","Number","Fetal Mortality",806
"Connecticut","09","1999-2001","All","Infant","Rate","Fetal Mortality",6.2
"Connecticut","09","1999-2001","All","Neonatal","Number","Fetal Mortality",613
"Connecticut","09","1999-2001","All","Neonatal","Rate","Fetal Mortality",4.8
"Connecticut","09","1999-2001","All","Postneonatal","Number","Fetal Mortality",193
"Connecticut","09","1999-2001","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","1999-2001","Black or African American","Fetal","Number","Fetal Mortality",149
"Connecticut","09","1999-2001","Black or African American","Infant","Number","Fetal Mortality",215
"Connecticut","09","1999-2001","Hispanic or Latino","Fetal","Number","Fetal Mortality",121
"Connecticut","09","1999-2001","Hispanic or Latino","Infant","Number","Fetal Mortality",152
"Connecticut","09","1999-2001","Other","Fetal","Number","Fetal Mortality",39
"Connecticut","09","1999-2001","Other","Infant","Number","Fetal Mortality",16
"Connecticut","09","1999-2001","White","Fetal","Number","Fetal Mortality",469
"Connecticut","09","1999-2001","White","Infant","Number","Fetal Mortality",559
"Connecticut","09","2000-2002","All","Fetal","Number","Fetal Mortality",653
"Connecticut","09","2000-2002","All","Fetal","Rate","Fetal Mortality",5.1
"Connecticut","09","2000-2002","All","Infant","Number","Fetal Mortality",816
"Connecticut","09","2000-2002","All","Infant","Rate","Fetal Mortality",6.4
"Connecticut","09","2000-2002","All","Neonatal","Number","Fetal Mortality",605
"Connecticut","09","2000-2002","All","Neonatal","Rate","Fetal Mortality",4.7
"Connecticut","09","2000-2002","All","Postneonatal","Number","Fetal Mortality",211
"Connecticut","09","2000-2002","All","Postneonatal","Rate","Fetal Mortality",1.6
"Connecticut","09","2000-2002","Black or African American","Fetal","Number","Fetal Mortality",160
"Connecticut","09","2000-2002","Black or African American","Infant","Number","Fetal Mortality",232
"Connecticut","09","2000-2002","Hispanic or Latino","Fetal","Number","Fetal Mortality",110
"Connecticut","09","2000-2002","Hispanic or Latino","Infant","Number","Fetal Mortality",151
"Connecticut","09","2000-2002","Other","Fetal","Number","Fetal Mortality",33
"Connecticut","09","2000-2002","Other","Infant","Number","Fetal Mortality",23
"Connecticut","09","2000-2002","White","Fetal","Number","Fetal Mortality",453
"Connecticut","09","2000-2002","White","Infant","Number","Fetal Mortality",536
"Connecticut","09","2001-2003","All","Fetal","Number","Fetal Mortality",679
"Connecticut","09","2001-2003","All","Fetal","Rate","Fetal Mortality",5.3
"Connecticut","09","2001-2003","All","Infant","Number","Fetal Mortality",763
"Connecticut","09","2001-2003","All","Infant","Rate","Fetal Mortality",6
"Connecticut","09","2001-2003","All","Neonatal","Number","Fetal Mortality",552
"Connecticut","09","2001-2003","All","Neonatal","Rate","Fetal Mortality",4.3
"Connecticut","09","2001-2003","All","Postneonatal","Number","Fetal Mortality",211
"Connecticut","09","2001-2003","All","Postneonatal","Rate","Fetal Mortality",1.7
"Connecticut","09","2001-2003","Black or African American","Fetal","Number","Fetal Mortality",166
"Connecticut","09","2001-2003","Black or African American","Infant","Number","Fetal Mortality",215
"Connecticut","09","2001-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",140
"Connecticut","09","2001-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",130
"Connecticut","09","2001-2003","Other","Fetal","Number","Fetal Mortality",29
"Connecticut","09","2001-2003","Other","Infant","Number","Fetal Mortality",23
"Connecticut","09","2001-2003","White","Fetal","Number","Fetal Mortality",470
"Connecticut","09","2001-2003","White","Infant","Number","Fetal Mortality",497
"Connecticut","09","2002-2004","All","Fetal","Number","Fetal Mortality",729
"Connecticut","09","2002-2004","All","Fetal","Rate","Fetal Mortality",5.8
"Connecticut","09","2002-2004","All","Infant","Number","Fetal Mortality",741
"Connecticut","09","2002-2004","All","Infant","Rate","Fetal Mortality",5.8
"Connecticut","09","2002-2004","All","Neonatal","Number","Fetal Mortality",534
"Connecticut","09","2002-2004","All","Neonatal","Rate","Fetal Mortality",4.2
"Connecticut","09","2002-2004","All","Postneonatal","Number","Fetal Mortality",207
"Connecticut","09","2002-2004","All","Postneonatal","Rate","Fetal Mortality",1.6
"Connecticut","09","2002-2004","Black or African American","Fetal","Number","Fetal Mortality",177
"Connecticut","09","2002-2004","Black or African American","Infant","Number","Fetal Mortality",201
"Connecticut","09","2002-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",161
"Connecticut","09","2002-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",148
"Connecticut","09","2002-2004","Other","Fetal","Number","Fetal Mortality",30
"Connecticut","09","2002-2004","Other","Infant","Number","Fetal Mortality",25
"Connecticut","09","2002-2004","White","Fetal","Number","Fetal Mortality",509
"Connecticut","09","2002-2004","White","Infant","Number","Fetal Mortality",491
"Connecticut","09","2003-2005","All","Fetal","Number","Fetal Mortality",744
"Connecticut","09","2003-2005","All","Fetal","Rate","Fetal Mortality",5.9
"Connecticut","09","2003-2005","All","Infant","Number","Fetal Mortality",704
"Connecticut","09","2003-2005","All","Infant","Rate","Fetal Mortality",5.6
"Connecticut","09","2003-2005","All","Neonatal","Number","Fetal Mortality",506
"Connecticut","09","2003-2005","All","Neonatal","Rate","Fetal Mortality",4
"Connecticut","09","2003-2005","All","Postneonatal","Number","Fetal Mortality",198
"Connecticut","09","2003-2005","All","Postneonatal","Rate","Fetal Mortality",1.6
"Connecticut","09","2003-2005","Black or African American","Fetal","Number","Fetal Mortality",176
"Connecticut","09","2003-2005","Black or African American","Infant","Number","Fetal Mortality",194
"Connecticut","09","2003-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",186
"Connecticut","09","2003-2005","Hispanic or Latino","Infant","Number","Fetal Mortality",160
"Connecticut","09","2003-2005","Other","Fetal","Number","Fetal Mortality",34
"Connecticut","09","2003-2005","Other","Infant","Number","Fetal Mortality",16
"Connecticut","09","2003-2005","White","Fetal","Number","Fetal Mortality",525
"Connecticut","09","2003-2005","White","Infant","Number","Fetal Mortality",454
"Connecticut","09","2004-2006","All","Fetal","Number","Fetal Mortality",725
"Connecticut","09","2004-2006","All","Fetal","Rate","Fetal Mortality",5.8
"Connecticut","09","2004-2006","All","Infant","Number","Fetal Mortality",731
"Connecticut","09","2004-2006","All","Infant","Rate","Fetal Mortality",5.8
"Connecticut","09","2004-2006","All","Neonatal","Number","Fetal Mortality",542
"Connecticut","09","2004-2006","All","Neonatal","Rate","Fetal Mortality",4.3
"Connecticut","09","2004-2006","All","Postneonatal","Number","Fetal Mortality",189
"Connecticut","09","2004-2006","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","2004-2006","Black or African American","Fetal","Number","Fetal Mortality",179
"Connecticut","09","2004-2006","Black or African American","Infant","Number","Fetal Mortality",214
"Connecticut","09","2004-2006","Hispanic or Latino","Fetal","Number","Fetal Mortality",166
"Connecticut","09","2004-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",182
"Connecticut","09","2004-2006","Other","Fetal","Number","Fetal Mortality",34
"Connecticut","09","2004-2006","Other","Infant","Number","Fetal Mortality",23
"Connecticut","09","2004-2006","White","Fetal","Number","Fetal Mortality",508
"Connecticut","09","2004-2006","White","Infant","Number","Fetal Mortality",442
"Connecticut","09","2005-2007","All","Fetal","Number","Fetal Mortality",685
"Connecticut","09","2005-2007","All","Fetal","Rate","Fetal Mortality",5.5
"Connecticut","09","2005-2007","All","Infant","Number","Fetal Mortality",769
"Connecticut","09","2005-2007","All","Infant","Rate","Fetal Mortality",6.2
"Connecticut","09","2005-2007","All","Neonatal","Number","Fetal Mortality",578
"Connecticut","09","2005-2007","All","Neonatal","Rate","Fetal Mortality",4.6
"Connecticut","09","2005-2007","All","Postneonatal","Number","Fetal Mortality",191
"Connecticut","09","2005-2007","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","2005-2007","Black or African American","Fetal","Number","Fetal Mortality",176
"Connecticut","09","2005-2007","Black or African American","Infant","Number","Fetal Mortality",210
"Connecticut","09","2005-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",149
"Connecticut","09","2005-2007","Hispanic or Latino","Infant","Number","Fetal Mortality",177
"Connecticut","09","2005-2007","Other","Fetal","Number","Fetal Mortality",29
"Connecticut","09","2005-2007","Other","Infant","Number","Fetal Mortality",27
"Connecticut","09","2005-2007","White","Fetal","Number","Fetal Mortality",474
"Connecticut","09","2005-2007","White","Infant","Number","Fetal Mortality",468
"Connecticut","09","2006-2008","All","Fetal","Number","Fetal Mortality",667
"Connecticut","09","2006-2008","All","Fetal","Rate","Fetal Mortality",5.4
"Connecticut","09","2006-2008","All","Infant","Number","Fetal Mortality",772
"Connecticut","09","2006-2008","All","Infant","Rate","Fetal Mortality",6.2
"Connecticut","09","2006-2008","All","Neonatal","Number","Fetal Mortality",587
"Connecticut","09","2006-2008","All","Neonatal","Rate","Fetal Mortality",4.7
"Connecticut","09","2006-2008","All","Postneonatal","Number","Fetal Mortality",185
"Connecticut","09","2006-2008","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","2006-2008","Black or African American","Fetal","Number","Fetal Mortality",182
"Connecticut","09","2006-2008","Black or African American","Infant","Number","Fetal Mortality",215
"Connecticut","09","2006-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",141
"Connecticut","09","2006-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",175
"Connecticut","09","2006-2008","Other","Fetal","Number","Fetal Mortality",34
"Connecticut","09","2006-2008","Other","Infant","Number","Fetal Mortality",43
"Connecticut","09","2006-2008","White","Fetal","Number","Fetal Mortality",442
"Connecticut","09","2006-2008","White","Infant","Number","Fetal Mortality",467
"Connecticut","09","2007-2009","All","Fetal","Number","Fetal Mortality",623
"Connecticut","09","2007-2009","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2007-2009","All","Infant","Number","Fetal Mortality",731
"Connecticut","09","2007-2009","All","Infant","Rate","Fetal Mortality",6
"Connecticut","09","2007-2009","All","Neonatal","Number","Fetal Mortality",554
"Connecticut","09","2007-2009","All","Neonatal","Rate","Fetal Mortality",4.6
"Connecticut","09","2007-2009","All","Postneonatal","Number","Fetal Mortality",177
"Connecticut","09","2007-2009","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","2007-2009","Black or African American","Fetal","Number","Fetal Mortality",160
"Connecticut","09","2007-2009","Black or African American","Infant","Number","Fetal Mortality",203
"Connecticut","09","2007-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",135
"Connecticut","09","2007-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",175
"Connecticut","09","2007-2009","Other","Fetal","Number","Fetal Mortality",34
"Connecticut","09","2007-2009","Other","Infant","Number","Fetal Mortality",34
"Connecticut","09","2007-2009","White","Fetal","Number","Fetal Mortality",423
"Connecticut","09","2007-2009","White","Infant","Number","Fetal Mortality",459
"Connecticut","09","2008-2010","All","Fetal","Number","Fetal Mortality",610
"Connecticut","09","2008-2010","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2008-2010","All","Infant","Number","Fetal Mortality",652
"Connecticut","09","2008-2010","All","Infant","Rate","Fetal Mortality",5.6
"Connecticut","09","2008-2010","All","Neonatal","Number","Fetal Mortality",492
"Connecticut","09","2008-2010","All","Neonatal","Rate","Fetal Mortality",4.2
